Sr No.,Title,Brand,MRP,Price,Count of Ratings,Count of Reviews,Average Rating score,Product URL,Image URL
1,Acer I Series 108 cm (43 inch) 4K Ultra HD LED Android TV with Google Assistant (2022 model),Acer,34990.0,22999.0,52,48.0,4.6,/acer-i-series-108-cm-43-inch-4k-ultra-hd-led-android-tv-with-google-assistant-2022-model-/p/255843,https://media.croma.com/image/upload/v1665474074/Croma%20Assets/Entertainment/Television/Images/255843_wck8as.png
2,Croma 109 cm (43 inch) 4K Ultra HD Smart WebOS TV with Dolby Audio,Croma,50000.0,20990.0,41,39.0,4.27,/croma-109-cm-43-inch-4k-ultra-hd-smart-webos-tv-with-dolby-audio/p/265284,https://media.croma.com/image/upload/v1672735448/Croma%20Assets/Entertainment/Television/Images/265284_lfxmkp.png
3,SAMSUNG Crystal 4K Neo 108 cm (43 inch) 4K Ultra HD LED Tizen TV with Voice Assistance (2022 model),Samsung,47900.0,29990.0,3,3.0,4.67,/samsung-crystal-4k-neo-108-cm-43-inch-4k-ultra-hd-led-tizen-tv-with-voice-assistance-2022-model-/p/256071,https://media.croma.com/image/upload/v1678973281/Croma%20Assets/Entertainment/Television/Images/256071_0_gzaplj.png
4,SAMSUNG Series 7 125 cm (50 inch) 4K Ultra HD LED Tizen TV with Alexa Compatibility (2021 model),Samsung,69900.0,50990.0,34,31.0,4.5,/samsung-series-7-125-cm-50-inch-4k-ultra-hd-led-tizen-tv-with-alexa-compatibility-2021-model-/p/234369,https://media.croma.com/image/upload/v1664430978/Croma%20Assets/Entertainment/Television/Images/234369_0_is8ss2.png
5,Croma 127 cm (50 inch) 4K Ultra HD LED Smart WebOS TV (2022 model),Croma,60000.0,27990.0,29,28.0,4.48,/croma-127-cm-50-inch-4k-ultra-hd-led-smart-webos-tv-2022-model-/p/251388,https://media.croma.com/image/upload/v1664411764/Croma%20Assets/Entertainment/Television/Images/251388_0_hz5pqn.png
6,Foxsky 127 cm (50 inch) 4K Ultra HD LED Android TV with Google Assistant (2021 model),Foxsky,82990.0,24999.0,7,7.0,3.29,/foxsky-127-cm-50-inch-4k-ultra-hd-led-android-tv-with-google-assistant-2021-model-/p/258796,https://media.croma.com/image/upload/v1664429773/Croma%20Assets/Entertainment/Television/Images/258796_0_aul83w.png
7,SAMSUNG Crystal 4K 138 cm (55 inch) 4K Ultra HD LED Tizen Smart TV (2021 model),Samsung,69900.0,43990.0,2,2.0,5.0,/samsung-crystal-4k-138-cm-55-inch-4k-ultra-hd-led-tizen-smart-tv-2021-model-/p/252331,https://media.croma.com/image/upload/v1664197154/Croma%20Assets/Entertainment/Television/Images/252331_0_n2truk.png
8,SAMSUNG Crystal 4K 108 cm (43 inch) 4K Ultra HD LED Tizen TV (2021 model),Samsung,52900.0,28990.0,3,3.0,3.67,/samsung-crystal-4k-108-cm-43-inch-4k-ultra-hd-led-tizen-tv-2021-model-/p/252329,https://media.croma.com/image/upload/v1664197328/Croma%20Assets/Entertainment/Television/Images/252329_0_siswkq.png
9,Croma 140 cm (55 inch) 4K Ultra HD LED Smart WebOS TV (2022 model),Croma,75000.0,31990.0,18,16.0,4.11,/croma-140-cm-55-inch-4k-ultra-hd-led-smart-webos-tv-2022-model-/p/251389,https://media.croma.com/image/upload/v1663783174/Croma%20Assets/Entertainment/Television/Images/251389_0_ek54hr.png
10,Hisense Bezelless 126 cm (50 inch) LED 4K Ultra HD Google TV with Dolby Vision (2022 model),Hisense,54990.0,29999.0,0,0.0,N/A,/hisense-bezelless-126-cm-50-inch-led-4k-ultra-hd-google-tv-with-dolby-vision-2022-model-/p/267994,https://media.croma.com/image/upload/v1673603706/Croma%20Assets/Entertainment/Television/Images/267994_akmhgu.png
11,SONY X75K 139 cm (55 inch) 4K Ultra HD LED Google Android TV with Voice Assistance (2022 model),Sony,99900.0,62690.0,63,61.0,4.6,/sony-x75k-139-cm-55-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/252947,https://media.croma.com/image/upload/v1664418259/Croma%20Assets/Entertainment/Television/Images/252947_0_l4bb4r.png
12,Mi 5X 108 cm (43 inch) 4K Ultra HD LED Android TV with Alexa Compatibility (2021 model),Xiaomi,49999.0,30899.0,29,24.0,4.21,/mi-5x-108-cm-43-inch-4k-ultra-hd-led-android-tv-with-alexa-compatibility-2021-model-/p/242860,https://media.croma.com/image/upload/v1664410651/Croma%20Assets/Entertainment/Television/Images/242860_0_hnin65.png
13,Kodak 7XPRO Series 108 cm (43 inch) 4K Ultra HD LED Android TV with Google Assistant (2021 model),Kodak,33999.0,19999.0,9,9.0,2.44,/kodak-7xpro-series-108-cm-43-inch-4k-ultra-hd-led-android-tv-with-google-assistant-2021-model-/p/259829,https://media.croma.com/image/upload/v1664425968/Croma%20Assets/Entertainment/Television/Images/259829_0_vuwz6s.png
14,Hisense A6H 108 cm (43 inch) 4K Ultra HD LED Google TV with Dolby Vision (2022 model),Hisense,44990.0,27990.0,0,0.0,N/A,/hisense-a6h-108-cm-43-inch-4k-ultra-hd-led-google-tv-with-dolby-vision-2022-model-/p/257093,https://media.croma.com/image/upload/v1673865310/Croma%20Assets/Entertainment/Television/Images/257093_gslwmw.png
15,Acer I Series 139 cm (55 inch) 4K Ultra HD LED Android TV with Google Assistant (2022 model),Acer,47990.0,29999.0,36,34.0,4.78,/acer-i-series-139-cm-55-inch-4k-ultra-hd-led-android-tv-with-google-assistant-2022-model-/p/255845,https://media.croma.com/image/upload/v1665474074/Croma%20Assets/Entertainment/Television/Images/255845_l4dyuj.png
16,OnePlus Y Series 138 cm (55 inch) LED 4K Ultra HD TV with Built-in Google Assistant (2022 model),OnePlus,49999.0,39999.0,3,3.0,4.33,/oneplus-y-series-138-cm-55-inch-led-4k-ultra-hd-tv-with-built-in-google-assistant-2022-model-/p/265598,https://media.croma.com/image/upload/v1670506607/Croma%20Assets/Entertainment/Television/Images/265598_0_phsqsr.png
17,Aiwa Magnifiq 127 cm (50 inch) 4K Ultra HD LED Smart Android TV with Google Voice Search (2022 model),Aiwa,69990.0,32990.0,0,0.0,N/A,/aiwa-magnifiq-127-cm-50-inch-4k-ultra-hd-led-smart-android-tv-with-google-voice-search-2022-model-/p/268767,https://media.croma.com/image/upload/v1675251244/Croma%20Assets/Entertainment/Television/Images/268767_ipgbvv.png
18,Aiwa Magnifiq 139 cm (55 inch) Ultra HD 4K LED Smart Android TV with Dolby Vision Support (2022 model),Aiwa,99990.0,35990.0,0,0.0,N/A,/aiwa-magnifiq-139-cm-55-inch-ultra-hd-4k-led-smart-android-tv-with-dolby-vision-support-2022-model-/p/268768,https://media.croma.com/image/upload/v1675251815/Croma%20Assets/Entertainment/Television/Images/268768_axreyn.png
